,Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5,ann_vol_percentile
1,1987,165,281,308,821.8,2,710.9979315,1,0.285530335,55,5718,226,90,554.8,2113.5,136,NA,NA,NA,NA,NA,NA,42849,14749,29668,NA,NA,NA,11.43
2,1988,175,310,276.4277,667.6,2,454.9752406,23,0.293061224,72,4484,238,158,717.7,1500.5,80,NA,NA,NA,NA,NA,NA,42849,14749,29668,NA,NA,NA,14.29
3,1989,197,301,397,1069.8,4,425.0269595,3,0.218798568,65,5924,236,117,799.4,3782,119,NA,NA,NA,NA,NA,NA,42849,14749,29668,NA,NA,NA,48.57
4,1990,195,305,232.5673,543.43884,2,1133.999708,0,0.339999802,62,5002,243,111,1054,2554,132,NA,NA,NA,NA,NA,NA,42849,14749,29668,NA,NA,NA,28.57
5,1991,181,302,353.9964,664,2,490.1942005,0,0.154054054,52,9168,250,116,242.5,3101,134,NA,NA,NA,NA,NA,NA,42849,14749,29668,NA,NA,NA,40
6,1992,117,329,219.2529,672.4,5,2849.753535,25,0.253693327,105,5822,224,107,489.2,2325,117,NA,NA,NA,NA,NA,NA,42849,14749,29668,NA,NA,NA,17.14
7,1993,184,320,392.17515,854.7,2,528.9997287,0,0.180683738,58,11102,262,182,1455.3,5084.5,80,NA,170.5,NA,NA,2,NA,42849,14749,29668,NA,2,NA,77.14
8,1994,157,288,375.2797,1035,3,1117.837775,4,0.275992917,42,6316,246,108,1182.2,2317.5,138,NA,NA,NA,NA,NA,NA,42849,14749,29668,NA,NA,NA,20
9,1995,114,345,325.3714,1178.2,3,773.9882695,4,0.106181235,60,17980,285,206,1985,6851,79,160,244,160,1,29,2,42849,14749,29668,1,7,1,97.14
10,1996,88,309,362.55445,716.6,2,624.9991086,1,0.097460046,77,37270,232,139,1270.4,4491,93,NA,227,228,NA,4,1,42849,14749,29668,NA,3,1,74.29
11,1997,136,314,405,913.15005,3,637.9854998,7,0.224914859,68,11059,246,215,1091.4,4374,31,92,114,104.5,3,13,4,42849,14749,29668,1,5,2,85.71
12,1998,130,328,641.81835,1420.6,1,5999.768789,6,0.072357096,61,15740,267,183,1644.8,5635,84,NA,213.5,NA,NA,15,NA,42849,14749,29668,NA,6,NA,91.43
13,1999,156,302,357.5,689,2,1288.88515,37,0.177045619,42,10061,260,168,1196.9,3586,92,NA,131,NA,NA,1,NA,42849,14749,29668,NA,1,NA,71.43
14,2000,186,300,407.4948,833.9475,4,560.9781725,15,0.19813918,37,6876,263,171,1091,4515,92,NA,178,NA,NA,4,NA,42849,14749,29668,NA,4,NA,68.57
15,2001,168,270,364.5,909.9,3,884.903021,15,0.155102041,46,10379,224,104,745.7,2339.5,120,NA,NA,NA,NA,NA,NA,42849,14749,29668,NA,NA,NA,37.14
16,2002,223,293,442.6618,1570,2,546.9908871,17,0.217486684,47,9698,246,174,902.9,2299.5,72,NA,NA,NA,NA,NA,NA,42849,14749,29668,NA,NA,NA,51.43
17,2003,198,288,494,1611.2,1,1347.415635,36,0.165305353,44,16889,244,94,1115.7,3379,150,NA,237.5,NA,NA,4,NA,42849,14749,29668,NA,2,NA,60
18,2004,146,297,446,1376.5,2,1002.996708,36,0.256324715,52,7171,245,125,1050.4,3930,120,NA,NA,NA,NA,NA,NA,42849,14749,29668,NA,NA,NA,45.71
19,2005,122,313,364,872.79761,4,3017.009313,18,0.112035011,72,22172,241,164,1577.6,4627,77,NA,231,227,NA,18,1,42849,14749,29668,NA,4,1,80
20,2006,163,315,390,756.68112,2,930.9794776,26,0.109241453,62,15883,253,184,1512.2,5541.5,69,91,210,138,1,21,2,42849,14749,29668,1,9,2,88.57
21,2007,190,283,295,607.3,2,1817.955849,44,0.251950434,56,6034,227,115,473.8,2313,112,NA,NA,NA,NA,NA,NA,42849,14749,29668,NA,NA,NA,22.86
22,2008,158,304,252.575,934.9,2,1150.99683,1,0.190167087,71,11210,233,126,944.5,2140,107,NA,NA,NA,NA,NA,NA,42849,14749,29668,NA,NA,NA,42.86
23,2009,189,308,337,1666.8,1,399.9882604,2,0.178793054,75,13322,233,137,964.8,3002,96,NA,213,NA,NA,1,NA,42849,14749,29668,NA,1,NA,57.14
24,2010,98,314,331.70205,1353.6,4,1426.09614,11,0.155435317,59,16546,255,124,1526.8,3941,131,NA,247,NA,NA,5,NA,42849,14749,29668,NA,1,NA,65.71
25,2011,174,337,391,963.7,2,1154.003244,4,0.143417146,62,20682,275,229,1757.8,5367,46,NA,253,NA,NA,19,NA,42849,14749,29668,NA,9,NA,94.29
26,2012,121,278,169,380,3,1602.984592,5,0.102447998,60,8084,218,73,699.2,2167,145,NA,NA,NA,NA,NA,NA,42849,14749,29668,NA,NA,NA,25.71
27,2013,173,299,173.1006,372.2,4,405.9859018,12,0.248246193,70,6969,229,196,567,1466.5,33,NA,NA,NA,NA,NA,NA,42849,14749,29668,NA,NA,NA,34.29
28,2014,117,292,91.2961,229.8,2,268.0011746,5,0.130352046,60,4221,232,126,299.24325,1424,106,NA,NA,NA,NA,NA,NA,42849,14749,29668,NA,NA,NA,5.71
29,2015,128,299,170.5,600.2,4,638.9897291,2,0.197153117,60,3744,239,196,239.5,932,43,NA,NA,NA,NA,NA,NA,42849,14749,29668,NA,NA,NA,2.86
30,2016,103,316,153,1849.2,6,583.970779,17,0.137572146,68,8977,248,187,849.4,3360,61,NA,119.5,NA,NA,2,NA,42849,14749,29668,NA,2,NA,62.86
31,2017,164,341,530,1493.7,8,14941.70887,16,0.152022315,75,20149,266,213,1540,7598,53,116,215,121,2,39,8,42849,14749,29668,2,15,4,100
32,2018,168,286,378,928.6,3,2547.829506,45,0.152711703,93,29237,193,54,486.4,3291,139,NA,172,172,NA,5,1,42849,14749,29668,NA,3,1,54.29
33,2019,181,321,485,1108,2,607.9707287,3,0.11910706,62,17784,259,171,1244,5737,88,NA,253,NA,NA,10,NA,42849,14749,29668,NA,4,NA,82.86
34,2020,222,293,264.52835,745.4,2,972.9853168,8,0.442580645,49,5498,244,108,752.3,2963.5,136,NA,NA,NA,NA,NA,NA,42849,14749,29668,NA,NA,NA,31.43
35,2021,79,289,213,402,2,715.9147407,4,0.2434426,68,5862,221,72,657.2,2441.5,149,NA,NA,NA,NA,NA,NA,42849,14749,29668,NA,NA,NA,8.57
36,2022,75,293,273,520.4,NA,NA,NA,0.416566627,41,4008,252,250,352.5,1316.5,2,NA,24,24,NA,1,1,42849,14749,29668,NA,1,1,